CompanyID,Company Name,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue
55,Centrillion,"Seattle, WA",5001 to 10000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
56,Midan Marketing,"San Francisco, CA",1001 to 5000 employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
57,Infotree Service Inc,"San Francisco, CA",1001 to 5000 employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
58,Concept Software & Services Inc,"Montvale, NJ",1001 to 5000 employees,1962,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD)
59,United IT Solutions,"Troy, MI",10000+ employees,1980,Subsidiary or Business Segment,IT Services,Information Technology,$1 to $2 billion (USD)
60,"EDP World, Inc.","Aliso Viejo, CA",10000+ employees,1999,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD)
61,Canvas InfoTech Inc.,"Dallas, TX",5001 to 10000 employees,1978,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$1 to $2 billion (USD)
62,Esquire Recruiting,"New York, NY",1001 to 5000 employees,1896,Company - Public,News Outlet,Media,$1 to $2 billion (USD)
63,Steiner Electric Co,"Hoboken, NJ",5001 to 10000 employees,1807,Company - Public,Publishing,Media,$1 to $2 billion (USD)
64,Advisor Group,"Santa Monica, CA",1001 to 5000 employees,2007,Company - Private,TV Broadcast & Cable Networks,Media,$1 to $2 billion (USD)
65,Veem,"New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD)
66,Marin City Health and Wellness Center,"New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD)
67,"AOC Solutions, Inc.","Carlsbad, CA",5001 to 10000 employees,1986,Company - Public,Telecommunications Services,Telecommunications,$1 to $2 billion (USD)
68,Web Shop Manager,"Philadelphia, PA",1001 to 5000 employees,1966,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$1 to $2 billion (USD)
69,"8K Miles Software Services, Inc.","Palo Alto, CA",1 to 50 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD)
70,Focal Systems,"Chicago, IL",1 to 50 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
71,Upper Hand,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
72,Frontend Arts,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
73,Gloo,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
74,Wellth Inc.,"Canton, MI",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD)
75,First Professional Services,"Alpharetta, GA",1 to 50 employees,1998,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
76,E Business International,"Irving, TX",1 to 50 employees,2010,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
77,Optima Global Solutions,"New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
78,Trillium Solutions Group,"New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
79,"Dedicated Tech Services, Inc.","Fremont, CA",1 to 50 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
80,InvenTech Info,"Lincolnshire, IL",1 to 50 employees,2012,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
81,eDataForce consulting LLC,"Elk Grove Village, IL",201 to 500 employees,1916,Company - Private,Wholesale,Business Services,$1 to $5 million (USD)
82,Pareto Systems,"Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD)
83,FAMILY INVOLVEMENT CENTER,"San Francisco, CA",51 to 200 employees,2014,Company - Private,Financial Transaction Processing,Finance,$1 to $5 million (USD)
84,Sense Corp,"Marin City, CA",1 to 50 employees,2007,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
85,"GStek, Inc.","Chantilly, VA",51 to 200 employees,1996,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
86,Blue Origin,"San Diego, CA",1 to 50 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
87,Giving Assistant,"San Diego, CA",1 to 50 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
88,Mackin,"Santa Clara, CA",201 to 500 employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
89,"Orbis, Inc.","Burlingame, CA",1 to 50 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
90,Analytical Mechanics Associates,"Burlingame, CA",1 to 50 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
91,Midcom,"Irving, TX",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
92,"Innovative Development, LLC","Irving, TX",1 to 50 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
93,Briljent,"Boulder, CO",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
94,"PRIMUS Global Services, Inc","New York, NY",1 to 50 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
95,AXSEUM Inc,"Piscataway, NJ",51 to 200 employees,2018,Subsidiary or Business Segment,Internet,Information Technology,$1 to $5 million (USD)
96,"Relevante, Inc.","Princeton, NJ",51 to 200 employees,1992,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
97,STAND 8 Technology Services,"Lawrenceville, NJ",1 to 50 employees,2001,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
98,Praescient Analytics,"Highland Park, IL",1 to 50 employees,2002,Private Practice / Firm,IT Services,Information Technology,$1 to $5 million (USD)
99,North Central Texas Council of Governments,"Columbus, OH",1 to 50 employees,2008,Private Practice / Firm,IT Services,Information Technology,$1 to $5 million (USD)
100,DW Simpson,"Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
101,Norgate Technology Inc,"Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
102,Accounting Principals,"Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
103,CRS Group,"Flower Mound, TX",1 to 50 employees,2012,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
104,SRG Woolf,"Stafford, TX",1 to 50 employees,2012,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
105,"iTech Solutions, Inc","Phoenix, AZ",1 to 50 employees,2002,Nonprofit Organization,Social Assistance,Non-Profit,$1 to $5 million (USD)
106,Peyton Resource Group (PRG),"Saint Louis, MO",201 to 500 employees,1996,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD)
107,Peyton Resource Group,"Chesapeake, VA",201 to 500 employees,1992,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD)
108,The Carrera Agency,"Kent, WA",1001 to 5000 employees,2000,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD)
109,NJF Global Holdings,"San Francisco, CA",1 to 50 employees,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
110,McGrath Systems,"Pittsburgh, PA",51 to 200 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
111,KORE1 Technologies,"Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
112,"TekCom Resources, Inc.","Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
113,W3Global,"Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
114,Crawford Thomas Recruiting,"Charleston, SC",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
115,Russell Tobin & Associates,"Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
116,ektello,"Hampton, VA",201 to 500 employees,1962,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
117,ORS Partners,"Anaheim, CA",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
118,MedImpact,"Harleysville, PA",51 to 200 employees,1992,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
119,Virtus Partners LLC,"Fort Wayne, IN",51 to 200 employees,1998,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
120,KGS,"Irving, TX",501 to 1000 employees,2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
121,Acumen,"Alexandria, VA",51 to 200 employees,2002,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
122,Trinity Health,"Los Angeles, CA",51 to 200 employees,2009,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
123,Saratoga Medical Center,"Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
124,VITALWARE LLC,"Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
125,TechDigital Corporation,"Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
126,Hazelcast,"Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
127,"Netpace, Inc.","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
128,"Netpace, Inc","Arlington, TX",201 to 500 employees,1966,Nonprofit Organization,Membership Organizations,Business Services,$10 to $25 million (USD)
129,Global Healthcare Exchange,"Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
130,"Competent Systems, Inc","Garden City, NY",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
131,pureIntegration,"Jacksonville, FL",501 to 1000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
132,Servient,"Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
133,"Zachary Piper Solutions, LLC","Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
134,LeanData,"Raleigh, NC",1 to 50 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
135,GroupBy Inc.,"Farmington, CT",51 to 200 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
136,MyLife.com,"Irving, TX",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
137,Duolingo,"Irving, TX",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
138,PubNub,"Aliso Viejo, CA",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
139,Information Technology Partners,"London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
140,Serverlogic,"Blue Bell, PA",1 to 50 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
141,"Halcyon Solutions, Inc.","Irvine, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
142,"Micro-Data Systems, Inc.","King of Prussia, PA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
143,Micro-Data Systems Inc.,"King of Prussia, PA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
144,Dextro Software Systems,"Frisco, TX",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
145,"Aviana Global Technologies, Inc","Orlando, FL",51 to 200 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
146,ClientSolv Technologies,"New York, NY",51 to 200 employees,2010,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
147,Seven Seven Softwares,"San Diego, CA",1001 to 5000 employees,1989,Company - Private,Wholesale,Business Services,$10 to $25 million (USD)
148,DynPro Inc.,"Houston, TX",201 to 500 employees,2005,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
149,"Paramount Software Solutions, Inc","New York, NY",51 to 200 employees,2010,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
150,GoAhead Solutions,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
151,Strategic Systems,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
152,SBG Techology Solutions,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
153,BridgeView IT,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
154,IntegriChain,"Burlingame, CA",201 to 500 employees,1996,Company - Private,Federal Agencies,Government,$10 to $25 million (USD)
155,SRA OSS,"Livonia, MI",10000+ employees,1976,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
156,Precision technologies corp,"Fairfax, VA",201 to 500 employees,1985,Company - Private,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
157,Tachyon Technologies LLC,"Burnsville, MN",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
158,Tachyon Technologies,"Palo Alto, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
159,Nucleusteq,"San Ramon, CA",51 to 200 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
160,Plymouth Rock Assurance,"Louisville, CO",501 to 1000 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
161,Rockstar Games,"Alpharetta, GA",201 to 500 employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
162,COUNCIL ON ACCREDITATION,"Herndon, VA",51 to 200 employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
163,CASES,"Houston, TX",51 to 200 employees,2004,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
164,National Capitol Contracting (NCC),"Mc Lean, VA",51 to 200 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
165,"Resource Logistics, Inc.","Mc Lean, VA",51 to 200 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
166,EY,"Sunnyvale, CA",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
167,Boeing,"Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
168,Textron,"Chicago, IL",51 to 200 employees,1991,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
169,Northrop Grumman,"Tigard, OR",1 to 50 employees,1992,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
170,General Dynamics,"Dublin, OH",51 to 200 employees,1992,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
171,Lockheed Martin,"Dublin, OH",51 to 200 employees,1992,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
172,GSK,"Princeton Junction, NJ",51 to 200 employees,1993,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
173,Thermo Fisher Scientific,"Brea, CA",1 to 50 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
174,AbbVie,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
175,Willis Towers Watson,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
176,Accenture,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
177,Arrow Electronics,"Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
178,Stanford University,"Rockaway, NJ",201 to 500 employees,1996,Company - Public,IT Services,Information Technology,$10 to $25 million (USD)
179,BMO Financial Group,"Rockaway, NJ",201 to 500 employees,1996,Company - Public,IT Services,Information Technology,$10 to $25 million (USD)
180,PNC Financial Services Group,"Raleigh, NC",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
181,Wells Fargo,"Alpharetta, GA",51 to 200 employees,1997,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
182,TD Bank,"Dublin, OH",201 to 500 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
183,MUFG,"Stafford, VA",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
184,Bank of America,"Philadelphia, PA",201 to 500 employees,2005,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
185,First Republic Bank,"New Brunswick, NJ",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
186,Federal Reserve Bank,"New Brunswick, NJ",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
187,FIS,"Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
188,BNY Mellon,"Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
189,The Bank of New York Mellon,"Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
190,JPMorgan Chase,"New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD)
191,"JPMorgan Chase Bank, N.A.","New York, NY",51 to 200 employees,1977,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD)
192,J.P. Morgan,"Mc Lean, VA",51 to 200 employees,2002,Company - Private,Telecommunications Services,Telecommunications,$10 to $25 million (USD)
193,JPMorgan Chase & Co.,"Edison, NJ",51 to 200 employees,1997,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD)
194,Citi,"London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
195,Scotiabank,"Chicago, IL",10000+ employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
196,UBS,"Chicago, IL",10000+ employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
197,Goldman Sachs,"Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
198,Deutsche Bank,"Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
199,Morgan Stanley,"Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
200,SMBC Group,"Bethesda, MD",10000+ employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
201,Sumitomo Mitsui Banking Corporation (SMBC),"Brentford, United Kingdom",10000+ employees,1830,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
202,HomeBridge Financial Services,"Waltham, MA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
203,Fairway Independent Mortgage Corporation,"North Chicago, IL",10000+ employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
204,Abbott Laboratories,"North Chicago, IL",10000+ employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
205,Abbott,"London, United Kingdom",10000+ employees,1828,Company - Public,Consulting,Business Services,$10+ billion (USD)
