Age,Gender,EducationLevel,JobTitle,YearsOfExperience,Salary
24,Male,Bachelor's,Data Analyst,1,90000
24,Male,Bachelor's,Data Analyst,1,90000
25,Male,Bachelor's,Front end Developer,1,60000
24,Female,Bachelor's,Back end Developer,1,60000
23,Male,Bachelor's,Full Stack Engineer,1,55000
24,Female,Master's,Back end Developer,1,60000
24,Male,Bachelor's,Front end Developer,1,60000
23,Male,Bachelor's,Back end Developer,1,55000
24,Female,Bachelor's,Back end Developer,1,60000
23,Male,Bachelor's,Front end Developer,1,55000
23,Male,Bachelor's,Front end Developer,1,55000
23,Female,Bachelor's,Back end Developer,1,55000
23,Female,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Front end Developer,1,60000
25,Male,Bachelor's,Front end Developer,1,60000
24,Male,Bachelor's,Front end Developer,1,60000
24,Female,Bachelor's,Back end Developer,1,60000
24,Female,Bachelor's,Front end Developer,1,55000
23,Female,Bachelor's,Front end Developer,1,55000
25,Male,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Front end Developer,1,60000
24,Female,Bachelor's,Back end Developer,1,60000
24,Female,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Back end Developer,1,55000
23,Male,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Front end Developer,1,55000
24,Female,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Back end Developer,1,55000
24,Male,Bachelor's,Front end Developer,1,55000
24,Male,Bachelor's,Back end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
26,Female,Master's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
25,Female,Bachelor's,Front end Developer,1,55000
22,Male,Bachelor's,Front End Developer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
24,Female,High School,Senior Project Engineer,1,52731
23,Male,PhD,Software Engineer Manager,1,119836
24,Female,Bachelor's,Front end Developer,1,51265
24,Female,High School,Senior Project Engineer,1,52731
23,Male,PhD,Software Engineer Manager,1,119836
24,Female,Bachelor's,Front end Developer,1,51265
24,Male,PhD,Software Engineer Manager,1,106132
23,Male,High School,Front end Developer,1,47898
24,Female,Bachelor's,Back end Developer,1,61095
22,Male,Bachelor's,Software Engineer,1,50000
23,Male,Bachelor's,Software Developer,1,45000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,High School,Back end Developer,1,52807
24,Male,PhD,Software Engineer Manager,1,106686
24,Male,Bachelor's,Back end Developer,1,55935
24,Male,Bachelor's,Back end Developer,1,55935
23,Female,High School,Back end Developer,1,52807
24,Male,PhD,Software Engineer Manager,1,106686
24,Male,Bachelor's,Back end Developer,1,55935
24,Male,Bachelor's,Back end Developer,1,55935
23,Female,High School,Back end Developer,1,52807
24,Male,PhD,Software Engineer Manager,1,106686
28,Male,Bachelor's,Software Developer,1,50000
27,Male,Bachelor's,Software Developer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
23,Female,Bachelor's,Software Engineer,1,50000
24,Female,Bachelor's,Web Developer,1,45000
25,Female,Bachelor's,Junior Web Developer,1,40000
23,Female,Bachelor's,Junior Web Developer,1,40000
24,Female,Bachelor's,Junior Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
25,Female,Bachelor's,Junior Web Developer,1,40000
23,Female,Bachelor's,Junior Web Developer,1,40000
24,Female,Bachelor's,Junior Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
24,Female,Bachelor's,Web Developer,1,40000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
26,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
25,Female,Bachelor's,Junior Software Developer,1,35000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Male,Bachelor's,Software Engineer,1,52000
26,Female,High School,Web Developer,1,35000
24,Male,Bachelor's,Junior Web Developer,1,40000
26,Female,Bachelor's,Web Developer,1,35000
24,Male,Bachelor's,Junior Web Developer,1,40000
26,Female,Bachelor's,Web Developer,1,35000
27,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
26,Female,Bachelor's,Junior Software Engineer,1,45000
23,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Junior Software Engineer,1,55000
23,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Junior Software Engineer,1,55000
23,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Junior Software Engineer,1,55000
23,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Junior Software Engineer,1,55000
23,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Financial Analyst,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Financial Analyst,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Financial Analyst,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Financial Analyst,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
26,Male,Bachelor's,Junior Software Engineer,1,55000
25,Male,Bachelor's,Financial Analyst,1,55000
24,Male,Bachelor's,Financial Analyst,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
24,Male,Bachelor's,Financial Analyst,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
24,Male,Bachelor's,Financial Analyst,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
24,Male,Bachelor's,Financial Analyst,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
27,Male,Bachelor's,Junior Software Engineer,1,55000
24,Male,Bachelor's,Financial Analyst,1,55000
25,Male,Bachelor's,Software Engineer,1,60000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,55000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
25,Male,Bachelor's,Product Manager,1,60000
26,Female,Master's,Junior Data Scientist,1.5,45000
29,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000
29,Male,Bachelor's,Junior Business Analyst,1.5,40000
29,Male,Bachelor's,Marketing Analyst,2,55000
28,Male,Bachelor's,Junior Business Analyst,2,40000
28,Male,Bachelor's,Junior Software Engineer,2,40000
28,Male,Bachelor's,Junior Business Analyst,2,40000
30,Male,Bachelor's,Junior Business Analyst,2,40000
26,Male,Master's,Product Manager,2,120000
27,Female,Bachelor's,Data Analyst,2,110000
27,Male,PhD,Data Scientist,2,115000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
27,Male,PhD,Data Scientist,2,115000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
27,Male,PhD,Data Scientist,2,115000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
27,Male,PhD,Data Scientist,2,115000
27,Male,PhD,Data Scientist,2,115000
26,Female,Master's,Product Manager,2,120000
27,Male,Bachelor's,Data Analyst,2,110000
27,Male,PhD,Data Scientist,2,115000
27,Male,PhD,Data Scientist,2,115000
27,Male,PhD,Data Scientist,2,115000
27,Male,PhD,Data Scientist,2,115000
27,Male,PhD,Data Scientist,2,115000
25,Male,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,125000
25,Male,Bachelor's,Data Analyst,2,115000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,115000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Male,Bachelor's,Data Analyst,2,115000
25,Male,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
25,Female,Bachelor's,Data Analyst,2,110000
24,Male,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Male,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Male,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
24,Male,Bachelor's,Data Analyst,2,95000
25,Female,Bachelor's,Data Analyst,2,100000
25,Female,Bachelor's,Data Analyst,2,90000
25,Female,Bachelor's,Data Analyst,2,90000
25,Female,Bachelor's,Data Analyst,2,90000
25,Female,Bachelor's,Data Analyst,2,90000
25,Female,Bachelor's,Data Analyst,2,90000
30,Female,Bachelor's,Front end Developer,2,75000
26,Female,Master's,Back end Developer,2,70000
26,Male,Bachelor's,Front end Developer,2,70000
25,Female,Master's,Back end Developer,2,75000
26,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
28,Female,Bachelor's,Front end Developer,2,70000
26,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
26,Male,Bachelor's,Back end Developer,2,65000
27,Female,Master's,Back end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Back end Developer,2,75000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
27,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
27,Female,Master's,Back end Developer,2,70000
28,Male,Bachelor's,Front end Developer,2,70000
28,Male,Bachelor's,Back end Developer,2,70000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,65000
28,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
28,Female,Bachelor's,Front end Developer,2,55000
26,Male,Bachelor's,Back end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
26,Male,Bachelor's,Back end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
27,Male,Bachelor's,Front end Developer,2,65000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Male,Bachelor's,Back end Developer,2,90249
25,Other,High School,Full Stack Engineer,2,69032
23,Other,High School,Front end Developer,2,62852
25,Male,Bachelor's,Back end Developer,2,90249
25,Other,High School,Full Stack Engineer,2,69032
23,Other,High School,Front end Developer,2,62852
23,Female,High School,Back end Developer,2,62807
24,Male,Bachelor's,Back end Developer,2,63901
26,Female,Bachelor's,Software Engineer,2,65000
24,Female,Master's,Software Engineer,2,60000
25,Male,Bachelor's,Front End Developer,2,50000
25,Male,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
24,Male,Bachelor's,Back end Developer,2,64182
26,Female,Master's,Front end Developer,2,65840
26,Female,Master's,Front end Developer,2,65840
24,Male,Bachelor's,Back end Developer,2,64182
26,Female,Master's,Front end Developer,2,65840
26,Female,Master's,Front end Developer,2,65840
24,Male,Bachelor's,Back end Developer,2,64182
26,Male,Bachelor's,Back end Developer,2,63789
26,Male,Bachelor's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
26,Male,Bachelor's,Software Developer,2,60000
25,Female,Master's,Software Engineer,2,60000
24,Female,Bachelor's,Software Developer,2,55000
